,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
19,mistralai_mathstral_7b_v0.1,0.5830039525684783,0.9130434782608695,0.21584293604797147,11.0,0.051405289004022366,0.03264616884903985,0.039708077227020744
28,qwen1.5-14b-chat,0.575181159422826,0.8913043478260869,0.21023016958919763,12.0,0.051535951283064825,0.03453312932328855,0.0382546370233918
18,llama-3.2-3B-instruct,0.5652173913043478,0.5652173913043478,0.2013228438227174,17.0,0.051683263192787585,0.05168326319278758,0.0
38,qwen2-math-7b-instruct,0.5543478260902174,0.8586956521739131,0.20499006368230216,6.0,0.0518197454601743,0.03319804536597792,0.039789141778074674
35,qwen2-7b-instruct,0.5533596838,0.9239130434782609,0.199444551168154,11.0,0.051830906524377315,0.030694574625583157,0.041764649641691555
25,mistralai_mixtral_8x7b_instruct_v0.1,0.5389492753630435,0.9239130434782609,0.20732424580201475,12.0,0.051970199858720645,0.03247911496634769,0.0405710335628529
20,mistralai_ministral_8b_instruct_2410,0.5375494071206522,0.9565217391304348,0.1969454080181059,11.0,0.05198139738582987,0.02905044814301603,0.043106114843180846
45,qwen3-0.6b,0.47240802675543475,0.8478260869565217,0.17151585705131772,13.0,0.052049170211452694,0.03695358678576631,0.03665444779788138
23,mistralai_mistral_7b_instruct_v0.3,0.4584980237141304,0.8586956521739131,0.165997710456615,11.0,0.05194871906655798,0.032419894305613275,0.04059088402423663
22,mistralai_mistral_7b_instruct_v0.2,0.42717391304347824,0.782608695652174,0.15637657089277174,10.0,0.05157269679767382,0.03427861517420763,0.03853205933665338
43,qwen2.5-coder-3b-instruct,0.42210144927717386,0.8695652173913043,0.14221167570342821,12.0,0.05149206521769654,0.030719132844724894,0.041325145585365555
6,deepseek_v2_lite_chat,0.4169960474271739,0.782608695652174,0.14782284381973843,11.0,0.05140528900394606,0.03428304605556659,0.03830373990527711
31,qwen1.5-7b-chat,0.36865942028913046,0.9021739130434783,0.13336290581294122,12.0,0.0502979872664569,0.028781682723388873,0.04124926984404498
7,google_codegemma_1.1_7b_it,0.362040133776087,0.7391304347826086,0.12035969548577646,13.0,0.050105006617784824,0.03301079960121501,0.03769348481974947
15,google_gemma_7b_it,0.35702341137282606,0.6739130434782609,0.1268447330262307,13.0,0.04995190024506356,0.03622434467493596,0.0343946099114995
12,google_gemma_3_1b_it,0.3478260869532609,0.782608695652174,0.11924354101526961,13.0,0.04965567310599231,0.03227781981533139,0.03773364837354279
21,mistralai_mistral_7b_instruct_v0.1,0.33893280631739137,0.8369565217391305,0.11840867860347415,11.0,0.04934983361048654,0.028485359417121815,0.04029876395449488
10,google_gemma_2b_it,0.33277591973152176,0.43478260869565216,0.10806343210773492,13.0,0.049126733510553834,0.04567557768754995,0.018088049876245998
33,qwen2-1.5b-instruct,0.28595317725,0.7282608695652174,0.10037468133566937,13.0,0.047110411208627544,0.02682959338153137,0.038724201260034626
2,deepseek_r1_distill_qwen_1.5b,0.28260869564456526,0.8152173913043478,0.10211867452160868,13.0,0.04694365503158417,0.023053545175207975,0.04089304100429586
40,qwen2.5-coder-1.5b-instruct,0.28260869564239127,0.8152173913043478,0.09775494761733183,11.0,0.04694365503147474,0.02358149447866777,0.04059088402420752
17,llama-3.2-1B-instruct,0.25,0.25,0.0994788942942174,12.0,0.04514469490716345,0.04514469490716345,0.0
27,qwen1.5-1.8b-chat,0.19367588931956525,0.7391304347826086,0.07202955443432107,11.0,0.0412001397232541,0.018723530808146198,0.03669987612093617
32,qwen2-0.5b-instruct,0.15886287624130435,0.7608695652173914,0.06199893973946881,13.0,0.03811103098237586,0.012177217328615068,0.03611323940982433
39,qwen2.5-coder-0.5b-instruct,0.1337792641978261,0.8043478260869565,0.0535465654681867,13.0,0.03549071719853602,0.005847214035587234,0.0350057294637391
36,qwen2-math-1.5b-instruct,0.12228260869565218,0.29347826086956524,0.04408159141575,4.0,0.034155904115355684,0.019212769499353608,0.02823995881905778
26,qwen1.5-0.5b-chat,0.09949832775,0.5978260869565217,0.044559886875972794,13.0,0.031207303096800632,0.007876536150279492,0.030196952575531903
