,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
16,llama-3.2-1B-instruct,0.04660194174757282,0.038974514563155344,13.0,0.009288284799172614,0.009288284799172613,0.0
4,deepseek_r1_distill_qwen_32b,0.04660194174757282,0.03538598975192557,2.0,0.009288284799172614,0.004709109543156302,0.008006030341005166
12,google_gemma_3_1b_it,0.04563106796116505,0.03567607200651598,4.0,0.009195701148229572,0.005171882685639122,0.00760345639124319
10,google_gemma_2b_it,0.04466019417475728,0.03712951726003034,4.0,0.009101974738369845,0.00623362936378273,0.006632330592854108
0,deepseek_r1_distill_llama_70b,0.043689320388349516,0.03314758629992314,2.0,0.009007069895457546,0.00614555906988981,0.006584786391383755
18,mistralai_mathstral_7b_v0.1,0.04271844660194175,0.034203580097128844,4.0,0.008910948967352183,0.0033967787742395935,0.0082381372565423
19,mistralai_ministral_8b_instruct_2410,0.0383495145631068,0.03046588457393103,4.0,0.008462232404841825,0.002683031273780059,0.008025628975816986
34,qwen2-math-1.5b-instruct,0.03559870550038834,0.026293374684356163,3.0,0.008164740397669115,0.0050188410775316005,0.006440048136451426
25,qwen1.5-1.8b-chat,0.034304207118058254,0.02825939410146714,3.0,0.008020293253246848,0.003004354151615331,0.007436327050348757
43,qwen3-0.6b,0.03184466019417476,0.024488807982776698,5.0,0.007737260473421926,0.0034614054153743043,0.0069198173519244505
30,qwen2-0.5b-instruct,0.031456310679611646,0.027010652642966832,5.0,0.0076914794867581964,0.0023705292776983137,0.00731706550734632
20,mistralai_mistral_7b_instruct_v0.1,0.031067961165048542,0.02575967502700344,4.0,0.007645386063908415,0.002631226273095197,0.007178340780847519
5,deepseek_r1_distill_qwen_7b,0.02766990291262136,0.020109223300986044,4.0,0.007227815658620853,0.0047980043780574445,0.005405596468767011
1,deepseek_r1_distill_llama_8b,0.018932038834951457,0.014334546925578479,4.0,0.006005437138483621,0.00273371529495809,0.0053471558711515555
37,qwen2.5-coder-0.5b-instruct,0.018640776699029128,0.01470442286949191,5.0,0.005959946918230754,0.0020559141725489476,0.005594120501315703
24,qwen1.5-0.5b-chat,0.018640776699029124,0.015642529665601132,5.0,0.005959946918230754,0.001401625093584805,0.00579278986026264
38,qwen2.5-coder-1.5b-instruct,0.017961165048543688,0.01386208872709648,4.0,0.0058523187004914275,0.001942258078491016,0.005520622041822647
2,deepseek_r1_distill_qwen_1.5b,0.012135922330097087,0.008645833333346481,4.0,0.004824822894137773,0.0018666552622236265,0.00444910261646198
