,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
18,llama-3.2-1B-instruct,0.187123809524,0.06378674968762459,21.0,0.005515586812538187,0.0054920533744341905,0.0005089672081884855
34,qwen2-1.5b-instruct,0.15144999999737999,0.0505804436940246,12.0,0.005069771148645146,0.0029696195221370954,0.004109007105539849
24,mistralai_mistral_7b_instruct_v0.3,0.13181818181426003,0.04256526694046473,11.0,0.004784185380134066,0.0030091485850424014,0.003719335228858224
15,google_gemma_7b_it,0.11879999999796001,0.03907230776498888,12.0,0.004575730761276165,0.0034067281735777597,0.0030547528788824286
23,mistralai_mistral_7b_instruct_v0.2,0.10336363636038001,0.031981943607547574,11.0,0.004305336108568973,0.0027833124329300755,0.00328467516026238
33,qwen2-0.5b-instruct,0.07618461537936,0.02409800038374085,13.0,0.003751813421769771,0.002028439176116354,0.003156190498143008
37,qwen2.5-coder-0.5b-instruct,0.0721692307639,0.022915039376405585,13.0,0.0036595309233519793,0.0018608965072497968,0.0031510681947991698
22,mistralai_mistral_7b_instruct_v0.1,0.07058181817852001,0.02208048590762231,11.0,0.003622154748796201,0.0020863202768312437,0.0029609580758108807
10,google_gemma_2b_it,0.06334999999799999,0.021128097185922304,12.0,0.0034449028287675517,0.002317605422414973,0.002548737060907499
28,qwen1.5-1.8b-chat,0.0522,0.01672466137735425,10.0,0.0031456369784194746,0.0014550787683909837,0.002788866755113585
27,qwen1.5-0.5b-chat,0.01298461538208,0.004857965451557884,13.0,0.001601000633695031,0.0004889790030636501,0.0015245007588239401
