,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
25,mistralai_mixtral_8x7b_instruct_v0.1,0.2977777777733333,0.15216568505301292,12.0,0.05280229450036032,0.03423332715944818,0.040201512609564456
40,qwen2.5-coder-1.5b-instruct,0.25575757574133334,0.13761965104610427,11.0,0.05037798966377407,0.012607614512697516,0.04877489004459719
15,google_gemma_7b_it,0.244102564104,0.11281386408541187,13.0,0.04960060514440694,0.040689822144857585,0.028364738752740613
33,qwen2-1.5b-instruct,0.24307692306800002,0.12323273444008144,13.0,0.04952986069565088,0.029013980927297033,0.04014219738979203
22,mistralai_mistral_7b_instruct_v0.2,0.24,0.107715055167464,10.0,0.04931531202375181,0.03553332638454522,0.03419623833186017
7,google_codegemma_1.1_7b_it,0.23384615384533333,0.11423907237991156,13.0,0.04887564221942296,0.033251128090015084,0.035821653829805934
21,mistralai_mistral_7b_instruct_v0.1,0.19999999998800003,0.10221192907442271,11.0,0.04618802153413084,0.022598828967587296,0.040281835391787583
26,qwen1.5-0.5b-chat,0.19487179486533332,0.11449687167082095,13.0,0.04573791693716083,0.011679104857420523,0.044221663870551056
17,llama-3.2-1B-instruct,0.18666666666666668,0.09571785547794666,12.0,0.0449921803905556,0.0449921803905556,0.0
27,qwen1.5-1.8b-chat,0.18303030302133336,0.09786327893728551,11.0,0.04465127265035899,0.015341196531188003,0.04193308763122699
39,qwen2.5-coder-0.5b-instruct,0.182564102552,0.1114488625837583,13.0,0.04460709226291006,0.010783710251206238,0.04328399558000394
0,deepseek_r1_distill_llama_70b,0.18181818181333337,0.0864376774714046,11.0,0.04453617714105048,0.02495321609733785,0.03688913228497773
32,qwen2-0.5b-instruct,0.181538461532,0.10602879923098643,13.0,0.04450951186980068,0.012002483490070246,0.04286067004794161
12,google_gemma_3_1b_it,0.17948717948266665,0.11230172972105958,13.0,0.04431275691175528,0.03193791918097984,0.030717905910226297
10,google_gemma_2b_it,0.171282051276,0.09378015659176747,13.0,0.04350394774219702,0.03211004527751247,0.029351975426398627
3,deepseek_r1_distill_qwen_14b,0.14666666666133335,0.06689387016691424,11.0,0.04085022326365535,0.01904946600041783,0.03613666539388235
4,deepseek_r1_distill_qwen_32b,0.12848484847466668,0.05978914741337294,11.0,0.03863961562733401,0.015559910185954916,0.03536819320849075
1,deepseek_r1_distill_llama_8b,0.11282051281466667,0.04766817524063398,13.0,0.03653163828845755,0.018399706522249433,0.03155964822259255
5,deepseek_r1_distill_qwen_7b,0.06787878787200001,0.03088764568470275,11.0,0.02904508174752438,0.008988241816122938,0.027619346168497053
2,deepseek_r1_distill_qwen_1.5b,0.039999999992,0.016966349885385056,13.0,0.02262741699580106,0.004924501218063609,0.022085046698052436
