,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
14,google_gemma_3_4b_it,0.6413043478260869,0.8260869565217391,0.26101014492747393,5.0,0.050003595662608216,0.03680121374958874,0.033853068483472686
44,qwen2.5-coder-7b-instruct,0.6304347826086957,0.9130434782608695,0.2600579710144402,4.0,0.050323601460709556,0.02963782366781692,0.040670188986673274
46,qwen3-1.7b,0.6168478260869565,0.8478260869565217,0.25205072463761957,4.0,0.050685151922641225,0.03259761744711421,0.0388121110246894
5,deepseek_r1_distill_qwen_7b,0.6168478260869565,0.782608695652174,0.25672644927530974,4.0,0.050685151922641225,0.037904330209220516,0.033648868878635343
1,deepseek_r1_distill_llama_8b,0.592391304347826,0.7934782608695652,0.2332961956520815,4.0,0.051230918704569514,0.0361288508232964,0.03632235082565837
16,llama-3.1-8B-instruct,0.5869565217391305,0.5869565217391305,0.24678260869556523,7.0,0.05133421641842629,0.051334216418426296,0.0
25,mistralai_mixtral_8x7b_instruct_v0.1,0.547101449272826,0.7934782608695652,0.22636473429760806,3.0,0.051896788611837365,0.031620087182406324,0.041151509751147106
38,qwen2-math-7b-instruct,0.5434782608695652,0.7065217391304348,0.22778442028984783,2.0,0.051931145973147234,0.03040776548609719,0.04209764506747192
28,qwen1.5-14b-chat,0.5326086956521737,0.7608695652173914,0.21307367149657633,3.0,0.05201762587647198,0.032430990266959024,0.04067018898565652
35,qwen2-7b-instruct,0.5081521739130435,0.8152173913043478,0.20038768115932065,4.0,0.05212167433458105,0.028916351565612248,0.043364888418789216
19,mistralai_mathstral_7b_v0.1,0.5054347826086957,0.8369565217391305,0.19739945652166305,4.0,0.0521255239925697,0.028752583940543374,0.043478260869565216
20,mistralai_ministral_8b_instruct_2410,0.5054347826086957,0.7608695652173914,0.19272735507233696,4.0,0.0521255239925697,0.033497458161714296,0.03993733276276921
23,mistralai_mistral_7b_instruct_v0.3,0.46467391304347827,0.7717391304347826,0.18037137681161414,4.0,0.051998334795697425,0.030683231934829178,0.04198054429803068
45,qwen3-0.6b,0.4326086956521738,0.7282608695652174,0.17218043478256087,5.0,0.051652940075660445,0.034169483880616455,0.03873593408957709
43,qwen2.5-coder-3b-instruct,0.3967391304347826,0.7608695652173914,0.1566204710144837,4.0,0.05100481571643773,0.02435127532616484,0.044816365495844133
6,deepseek_v2_lite_chat,0.39492753623152177,0.6195652173913043,0.15367874396035713,3.0,0.05096458460854926,0.03134815935366377,0.04018310328308751
22,mistralai_mistral_7b_instruct_v0.2,0.39402173913043476,0.6413043478260869,0.15953985507245108,4.0,0.05094419455586995,0.03299895447970304,0.0388121110246894
18,llama-3.2-3B-instruct,0.3804347826086957,0.3804347826086957,0.16170289855080436,10.0,0.05061621998905203,0.050616219989052025,0.0
31,qwen1.5-7b-chat,0.38043478260760877,0.6304347826086957,0.15138888888753685,3.0,0.05061621998902412,0.028103202768351026,0.04209764506641948
15,google_gemma_7b_it,0.358695652173913,0.6304347826086957,0.14094927536231522,4.0,0.050003595662608216,0.03168320119029518,0.03868506613054823
7,google_codegemma_1.1_7b_it,0.33695652173913043,0.6956521739130435,0.12694999999995654,5.0,0.049279242498919996,0.02629973869537598,0.041674542418871335
10,google_gemma_2b_it,0.32065217391304346,0.40217391304347827,0.11795108695650544,4.0,0.04865968303452525,0.04307890990134576,0.02262680434202318
21,mistralai_mistral_7b_instruct_v0.1,0.3070652173913043,0.6847826086956522,0.12510597826086955,4.0,0.0480914176628555,0.01772352835171508,0.044706386519032845
12,google_gemma_3_1b_it,0.29891304347826086,0.5869565217391305,0.11662681159413588,4.0,0.04772703589809087,0.02830241783714985,0.038429716368834105
2,deepseek_r1_distill_qwen_1.5b,0.26358695652173914,0.5217391304347826,0.10181793478258697,4.0,0.045933419783107284,0.025355109415067464,0.03830140310120647
33,qwen2-1.5b-instruct,0.26358695652173914,0.5978260869565217,0.10751177536227173,4.0,0.045933419783107284,0.019162572759107512,0.04174535732537287
40,qwen2.5-coder-1.5b-instruct,0.2554347826086957,0.6195652173913043,0.10583605072458152,4.0,0.04546712314867506,0.01659386410255569,0.04233087480270986
17,llama-3.2-1B-instruct,0.20652173913043478,0.20652173913043478,0.07896739130430436,13.0,0.0422042794034814,0.042204279403481405,0.0
39,qwen2.5-coder-0.5b-instruct,0.1260869565217391,0.4782608695652174,0.056600724637682606,5.0,0.03460790245217692,0.005295958533606261,0.034200288527287556
32,qwen2-0.5b-instruct,0.1217391304347826,0.4673913043478261,0.0552608695652174,5.0,0.03409046700800004,0.005286250077168067,0.03367811605397754
27,qwen1.5-1.8b-chat,0.11956521738369563,0.31521739130434784,0.05099033816112016,3.0,0.033826503658162914,0.0014629942970814027,0.03379485164078127
36,qwen2-math-1.5b-instruct,0.0652173913,0.16304347826086957,0.028681159417996736,3.0,0.025742048829818658,0.010549801921383606,0.023480944558861745
26,qwen1.5-0.5b-chat,0.056521739130434796,0.25,0.026393478260895654,5.0,0.02407574824700833,0.0008480320626146749,0.024060808283889845
